"","Var.1","Library","City.ortown","Image","Dategranted","Grantamount","Location","Notes","state","Municipality","Status","Town"
"53",31,"Fresno","Fresno",NA,"Feb 14, 1901","$30,000","","Demolished in 1959. The Fresno Carnegie Library was one of the earliest and costliest of the Carnegies. Architects Copeland and Dole of New York designed the large building in the Classical Revival style. New Fresno County Public Library building on the site.","California",NA,NA,NA
"54",32,"Fullerton","Fullerton",NA,"Dec 8, 1905","$10,000","","Demolished in 1942. Designed by architects Hunt and Eager, in the Mission Revival-Spanish Colonial Revival styles. Another library built on site and it now houses the Fullerton Museum Center.","California",NA,NA,NA
"55",33,"Gilroy","Gilroy",NA,"Mar 12, 1906","$10,000","195 5th St, Gilroy, CA 95020","Formerly the Gilroy Free Library, now the Gilroy Historical Museum. The building is virtually unchanged. Designed by architect W. H. Weeks, one of his seven ""classic Carnegies"" of the Greek temple style, with pediments and columns.","California",NA,NA,NA
"56",34,"Glendale","Glendale",NA,"Aug 11, 1911","$12,500","","Demolished in 1977. Architect Paul Tuttle designed the building in the Classical Revival style; a 1940 WPA project added wings to each side.  New Glendale Public Library building was built nearby and the old library demolished once the new, larger building was open.","California",NA,NA,NA
"57",35,"Grass Valley","Grass Valley",NA,"Jan 6, 1915","$15,000","207 Mill St, Grass Valley, CA 95945","Designed by architect William Mooser, its Classical Revival red brick facade is highlighted with numerous white pilasters.","California",NA,NA,NA
"58",36,"Gridley","Gridley",NA,"Jan 2, 1913","$7,000","519 Kentucky St, Gridley, CA 95966","Now a private office. Designed by Chico architect Chester Cole, in the Classical Revival style.","California",NA,NA,NA
"59",37,"Hanford","Hanford",NA,"Mar 20, 1903","$12,500","109 East Eighth St, Hanford, CA 93230","The Hanford Carnegie Museum since 1974. Designed by the McDougall Bros. and one of California's few in the Richardson Romanesque style.","California",NA,NA,NA
"60",38,"Hayward","Hayward",NA,"Feb 20, 1906","$11,750","","Demolished in 1949.","California",NA,NA,NA
"61",39,"Healdsburg","Healdsburg",NA,"Aug 31, 1909","$10,000","221 Matheson St, Healdsburg, CA 95448","Replaced in 1988 by a new library building a few blocks away. Now serves as the Healdsburg History Museum. Classical Revival (Type B), reinforced concrete faced with a 1/2"" layer of textured white concrete, scored to resemble stone blocks.","California",NA,NA,NA
"62",40,"Hemet","Hemet",NA,"Nov 30, 1910","$10,000","","Demolished in 1969. Designed by architect S. L. Pillar, in the Classical Revival with a large raised open loggia. The new Hemet Public Library was built in 1971 on the site.","California",NA,NA,NA
"63",41,"Hollister","Hollister",NA,"Apr 16, 1910","$10,000","375 Fifth St, Hollister, CA 95023","Now the Hollister City Hall. Designed by architect William Binder. The low, one story Classical Revival style building is constructed of concrete scored to resemble granite block.","California",NA,NA,NA
"64",42,"Hollywood","Hollywood",NA,"Feb 28, 1906","$10,000","","Demolished in 1958. Designed by architects Marsh and Russell, one of only two California Carnegie libraries in the Tudor Revival style. In 1910 when Hollywood was annexed to Los Angeles, it became a branch library.","California",NA,NA,NA
"65",43,"Huntington Beach","Huntington Beach",NA,"Feb 13, 1913","$10,000","","Demolished in 1951. Designed by architects Tuttle and Hopkins, in an elaborate Classical Revival style, in red brick with white elements. The new Huntington Beach Public Library was built on site in 1951.","California",NA,NA,NA
"66",44,"Imperial","Imperial",NA,"Jan 23, 1909","$10,000","","Designed by W. H. Weeks; heavily damaged by the 1940 El Centro earthquake and subsequently torn down.","California",NA,NA,NA
"67",45,"Inglewood","Inglewood",NA,"Nov 9, 1916","$10,000","101 S Grevillea Ave33°57′41.7″N 118°21′17.3″W﻿ / ﻿33.961583°N 118.354806°W﻿ / 33.961583; -118.354806","Designed by an unknown architect in the Mission Revival and Spanish Colonial Revival styles. It was severely damaged in the 1933 Long Beach earthquake, and the city voted funds to rebuild and enlarge it.  Demolished in 1967; the new Inglewood Public Library was built across Manchester Boulevard and completed in 1973. A temporary library existed on Queen Street.","California",NA,NA,NA
"68",46,"Lakeport","Lakeport",NA,"Nov 17, 1914","$8,000","200 Park St, Lakeport, CA 95453","Houses U.C. Davis scientists for Clear Lake research. Designed by architects Ward and Blohme, in an austere Classical Revival style in the city park on the shores of the lake.","California",NA,NA,NA
"69",47,"Lincoln","Lincoln",NA,"Dec 13, 1907","$6,000","590 5th St, Lincoln, CA 95648","The Lincoln Public Library. Built in the Mediterranean Revival-Classical Revival style, with the brick and terra cotta products of notable Gladding, McBean Pottery.","California",NA,NA,NA
"70",48,"Livermore","Livermore",NA,"Aug 5, 1909","$10,000","2155 3rd St, Livermore, CA 94550","Now a museum, the Livermore Heritage Guild History Center. The Classical Revival building, designed by W. H. Weeks, is an example of the library as ""temple in the park,"" with its pedimented central portico supported by Greek Ionic columns and located in the center of Carnegie Park.  The building's distinctive yellow brick came from the nearby Carnegie Brick Works.","California",NA,NA,NA
"71",49,"Lodi","Lodi",NA,"Dec 13, 1907","$9,000","305 W Pine St, Lodi, CA 95240","Now the ""Carnegie Forum and City Council Chambers"". The temple style Classical Revival Lodi Carnegie is notable for the incorporation of brick in the formed columns, triangular area within the pediment, and finely detailed trim.","California",NA,NA,NA
"72",50,"Lompoc","Lompoc",NA,"Dec 13, 1909","$10,000","200 South H St, Lompoc, CA 93436","Now the Lompoc Museum, an historical and archeological museum. Designed by W. H. Weeks in the Classic Revival ""temple style,"" and designated Lompoc Historical Landmark No. 1.","California",NA,NA,NA
"73",51,"Long Beach","Long Beach",NA,"Jan 19, 1905","$30,000","","In 1972 the Classical Revival style library was damaged by fire, and in 1973 demolished for a new Long Beach Public Library.","California",NA,NA,NA
"74",52,"Los Angeles Arroyo Seco","Los Angeles",NA,"Jan 31, 1911","$210,000","","Designed by architect Frederick Ashley, in the Classical Revival style. Demolished in 1959.","California",NA,NA,NA
"75",53,"Los Angeles Boyle Heights","Los Angeles",NA,"Jan 31, 1911","—","","Designed by architect W.J. Dodd, in the Classical Revival style. Demolished in 1974.","California",NA,NA,NA
"76",54,"Los Angeles Cahuenga Branch","Los Angeles",NA,"Jan 31, 1911","—","4591 W Santa Monica Blvd, Los Angeles, CA 90029","Designed by architect C.H. Russell, in the Italian Renaissance Revival style.","California",NA,NA,NA
"77",55,"Los Angeles Lincoln Heights","Los Angeles",NA,"Jan 31, 1911","—","2530 Workman St, Los Angeles, CA 90031","","California",NA,NA,NA
"78",56,"Los Angeles Vermont Square","Los Angeles",NA,"Jan 31, 1911","—","1201 W 48th St, Los Angeles, CA 90037","","California",NA,NA,NA
"79",57,"Los Angeles Vernon","Los Angeles",NA,"Jan 31, 1911","—","","Designed by architects Kysor and Biggar, in the Classical Revival style. The Vernon open air reading room could be converted into a closed room by means of a sliding sash. Demolished in 1974.","California",NA,NA,NA
"80",58,"Los Gatos","Los Gatos",NA,"Oct 17, 1901","$10,400","","Demolished in 1954.","California",NA,NA,NA
"81",59,"Mill Valley","Mill Valley",NA,"Jan 18, 1910","$10,000","52 Lovell Ave, Mill Valley, CA 94941","Now a private residence.","California",NA,NA,NA
"82",60,"Monrovia","Monrovia",NA,"Jan 19, 1905","$10,000","","Demolished in 1956.","California",NA,NA,NA
"83",61,"Monterey","Monterey",NA,"Dec 24, 1907","$10,000","425 Van Buren St, Monterey, CA 93930","Now the offices of the Monterey Institute of International Studies. Designed by W. H. Weeks in the Mission Revival style.","California",NA,NA,NA
"84",62,"National City","National City",NA,"Feb 13, 1909","$10,000","","Demolished in 1954. It is the site of the National City Civic Center.","California",NA,NA,NA
"85",63,"Nevada City","Nevada City",NA,"Mar 20, 1904","$10,000","211 N Pine St, Nevada City, CA 95959","Now the Doris Foley Library for Historical Research, in the Nevada County Library System. Designed by architect: W. H. Weeks, in the Romanesque Revival style, constructed of dark gray ""man-made"" cast stone, and rough and smooth concrete blocks fabricated at the site. It is part of the historic downtown district placed on the National Register of Historic Places in 1985, and was added in its own right in 1990.","California",NA,NA,NA
"86",64,"Newman","Newman",NA,"Nov 17, 1914","$8,000","1209 Main St, Newman, CA 95360","Now the Newman Museum, the first pioneer museum in Stanislaus County when it opened in the library basement in 1941, and which now occupies the whole building. Designed by Antioch architect Francis Reid, essentially Classical Revival style with Colonial elements in a tall, red brick building.","California",NA,NA,NA
"87",65,"Oakdale","Oakdale",NA,"May 15, 1916","$7,000","315 West F St, Oakdale, CA 95361","In 1916 Sadie Haslam, one of the founding members of the Oakdale's Women's Improvement Club, donated the land to Stanislaus County to be used as library. Designed by Stockton architect and engineer Hugh Y. Davis in Mission/Spanish Colonial Revival style, the building's upper floor housed the Oakdale Library from 1917 to 1976, while the bottom floor was used for court proceeding. The building was sold in 1976 for private use and is currently private offices.","California",NA,NA,NA
"88",66,"Oakland Main","Oakland",NA,"Aug 23, 1899","$190,000","659 14th St, Oakland, CA 94612","Oakland Main Library 1902–1951. Charles Greene Branch 1951–1994. Now housing the African American Museum and Library at Oakland.","California",NA,NA,NA
"89",67,"Oakland Golden Gate","Oakland",NA,"Aug 23, 1899","—","5606 San Pablo Ave, Oakland, CA 94608","","California",NA,NA,NA
"90",68,"Oakland Melrose","Oakland",NA,"Aug 23, 1899","—","4805 Foothill Blvd, Oakland, CA 94601","","California",NA,NA,NA
"91",69,"Oakland Miller","Oakland",NA,"Aug 23, 1899","—","1449 Miller Avenue, Oakland, CA 94601","23rd Avenue Branch 1918–1966, Ina Coolbrith Branch 1966–1972, and Latin American Branch 1972–1976. No longer a library since the 1990s, the building was destroyed by fire on 23 February 2018.","California",NA,NA,NA
"92",70,"Oakland Temescal","Oakland",NA,"Aug 23, 1899","—","5205 Telegraph Ave, Oakland, CA 94609","Named the Alden Branch Library 1918–1948, Temescal Branch Library 1948–present.","California",NA,NA,NA
"93",71,"Ontario","Ontario",NA,"Jun 8, 1905","$12,000","","Designed by architect F. P. Burnham in the Classical Revival style. Condemned and demolished in 1959.","California",NA,NA,NA
"94",72,"Orange","Orange",NA,"Mar 9, 1907","$10,000","407 E Chapman Ave, Orange, CA 92866","Demolished in 1961. Site used for larger library which has since been demolished.","California",NA,NA,NA
"95",73,"Orland","Orland",NA,"Nov 3, 1913","$8,000","912 3rd St, Orland, CA 95963","Designed by W. H. Weeks, now a community center.","California",NA,NA,NA
"96",74,"Orosi","Orosi",NA,"Sep 14, 1917","$3,000","12646 Ave 416, Orosi, CA 93647","The last Carnegie library to be completed in California. Now the Orosi/Cutler Branch Library. It is one of only three wood frame (non-masonry) California Carnegies, designed by architect: Ernest J. Kump in the American Craftsman Bungalow style.","California",NA,NA,NA
"97",75,"Oroville","Oroville",NA,"May 2, 1911","$10,000","1675 Montgomery St, Oroville, CA 95965","Designed by W. H. Weeks; now the Butte County Public Law Library","California",NA,NA,NA
"98",76,"Oxnard","Oxnard",NA,"Feb 13, 1906","$12,000","424 South C St, Oxnard, CA 93030","Carnegie Art Museum. Designed by Los Angeles architect F.P. Burnham, with four wide pedimented porticos, each supported by six Doric columns, the Oxnard Carnegie gives the impression of a temple on a hill. Designated a Ventura County landmark, and in 1971 was the first California Carnegie to be placed on the National Register of Historic Places.","California",NA,NA,NA
"99",77,"Pacific Grove","Pacific Grove",NA,"Mar 12, 1906","$10,000","550 Central Ave, Pacific Grove, CA 93950","The Pacific Improvement Company donated the land for the new library.  The building was designed by the McDougall Brothers in the Mission style.  The cornerstone was laid on November 9, 1907, and the Pacific Grove Carnegie Library officially opened on May 12, 1908.","California",NA,NA,NA
"100",78,"Palo Alto","Palo Alto",NA,"Feb 20, 1903","$10,000","","Demolished in 1967 to make room for a new city hall.","California",NA,NA,NA
"101",79,"Paso Robles","Paso Robles",NA,"Dec 13, 1906","$10,000","Paso Robles City Park, 800 12th St, Paso Robles, CA 9344635°37′34.24″N 120°41′24.22″W﻿ / ﻿35.6261778°N 120.6900611°W﻿ / 35.6261778; -120.6900611﻿ (Paso Robles Carnegie Library)","The building, designed by W. H. Weeks, has housed the El Paso de Robles Area Historical Society Museum since 1998. In 1906 the Board of Library trustees ""ladies"" correspondence with Andrew Carnegie resulted a letter offering that if the Paso Robles City Council agreed to provide a suitable site and maintain the Free Public Library, he would be glad to give six thousand dollars to erect the building.","California",NA,NA,NA
"102",80,"Patterson","Patterson",NA,"Jun 6, 1917","$3,000","355 W Las Palmas Ave, Patterson, CA 95363","","California",NA,NA,NA
"103",81,"Petaluma","Petaluma",NA,"Jan 13, 1903","$12,500","20 4th St, Petaluma, CA 94952","Now houses the Petaluma Historical Library & Museum","California",NA,NA,NA
"104",82,"Pomona","Pomona",NA,"Jan 23, 1902","$25,000","380 North Main Street, Pomona (former site)","Designed by the Burnham & Bliesner architecture firm and C. E. Wolfe, a local architect, in the Classical Revival style. It opened in 1903, was expanded in 1912 with second Carnegie grant, and in 1939 by the Works Progress Administration. Closed and demolished in 1965. Later the main Pomona First Federal Savings & Loan (U.S. Bank) office built on site, since closed, and is home of the American Museum of Ceramic Art.","California",NA,NA,NA
"105",83,"Porterville","Porterville",NA,"Feb 6, 1907","$10,000","","Condemned as unsafe and demolished in 1949.","California",NA,NA,NA
"106",84,"Redding","Redding",NA,"Mar 20, 1903","$10,000","","Demolished in 1965.","California",NA,NA,NA
"107",85,"Redwood City","Redwood City",NA,"Feb 20, 1904","$16,000","","Demolished in 1950.","California",NA,NA,NA
"108",86,"Richmond","Richmond",NA,"Jan 14, 1909","$17,500","400 Nevin Ave, Richmond, CA 94801","Designed by W. H. Weeks; now the Richmond Museum.","California",NA,NA,NA
